selected_timetable_id,stage_d_input_id,scenario_id,topology_family,uniform_headway_min,span_id,span_start_min,span_end_min,public_route_count,public_route_ids_json,selected_phase_vector_json,robust_min_transfer_quality,robust_unweighted_mean_transfer_quality,exact_daily_bus_km,explicit_public_trip_count,exact_fleet_recovery5,exact_fleet_recovery10,exact_fleet_recovery15,s8_target_selection_semantics,phase_selection_rule,exact_timetable_constructed
D3RT1_00048446fbcb1208,D4I2_2763604baf25d695,P2_1ff3b20cb2aa28a0,single_compact_loop,30,S8_EXTENDED_0530_2400,330,1440,1,"[""R2_d1a4ca26cf5831c30ecd""]",[17],0.112196890380,0.364165010949,517.590761167,37,1,2,2,MAX_CONTINUOUS_TRANSFER_QUALITY_OVER_FINITE_EXPLICIT_TARGET_EVENTS,MAX_ROBUST_MIN_QUALITY_THEN_MAX_UNWEIGHTED_MEAN_QUALITY_THEN_LOWEST_ROUTE_PHASE_TUPLE__AFTER_CONTEXT_EXACT_BUDGET_FILTER,true
D3RT1_000a62eda5460714,D4I2_c08d7620e15e0f01,P2_6323d1020f0712d8,two_radial_out_and_back_feeders,20,CORE_0600_2200,360,1320,2,"[""R2_81853019f7e1f4b16a5c"",""R2_c61ce2d5a09726fa4e1d""]","[19,16]",0.339129860106,0.506899159982,366.272209008,96,2,3,3,MAX_CONTINUOUS_TRANSFER_QUALITY_OVER_FINITE_EXPLICIT_TARGET_EVENTS,MAX_ROBUST_MIN_QUALITY_THEN_MAX_UNWEIGHTED_MEAN_QUALITY_THEN_LOWEST_ROUTE_PHASE_TUPLE__AFTER_CONTEXT_EXACT_BUDGET_FILTER,true
D3RT1_000bf0ef8eb8504d,D4I2_f37ccfd6acd7ccb3,P2_6d35c327678bb100,hybrid_interlined,30,CORE_0600_2200,360,1320,2,"[""R2_40023c3a09f861e4df2b"",""R2_88578ad00e2337256fd4""]","[11,8]",0.205349956754,0.612916700630,286.015053376,64,2,2,2,MAX_CONTINUOUS_TRANSFER_QUALITY_OVER_FINITE_EXPLICIT_TARGET_EVENTS,MAX_ROBUST_MIN_QUALITY_THEN_MAX_UNWEIGHTED_MEAN_QUALITY_THEN_LOWEST_ROUTE_PHASE_TUPLE__AFTER_CONTEXT_EXACT_BUDGET_FILTER,true
D3RT1_000df1b17c10558a,D4I2_e113c41b739e0f60,P2_7e6a2ea9b9167851,two_radial_out_and_back_feeders,15,CORE_0600_2200,360,1320,2,"[""R2_c61ce2d5a09726fa4e1d"",""R2_d6c4f07e4182bf0d5719""]","[4,9]",0.293469926649,0.521615349897,296.805697600,128,2,3,3,MAX_CONTINUOUS_TRANSFER_QUALITY_OVER_FINITE_EXPLICIT_TARGET_EVENTS,MAX_ROBUST_MIN_QUALITY_THEN_MAX_UNWEIGHTED_MEAN_QUALITY_THEN_LOWEST_ROUTE_PHASE_TUPLE__AFTER_CONTEXT_EXACT_BUDGET_FILTER,true
D3RT1_001ab555840e0246,D4I2_93d3dd08a5cd5179,P2_57a85d50bdcc6b9b,blank_slate,30,S8_EXTENDED_0530_2400,330,1440,1,"[""R2_f344da271941ca08cf72""]",[14],0.163245508355,0.459874841832,543.707332897,37,2,2,2,MAX_CONTINUOUS_TRANSFER_QUALITY_OVER_FINITE_EXPLICIT_TARGET_EVENTS,MAX_ROBUST_MIN_QUALITY_THEN_MAX_UNWEIGHTED_MEAN_QUALITY_THEN_LOWEST_ROUTE_PHASE_TUPLE__AFTER_CONTEXT_EXACT_BUDGET_FILTER,true
D3RT1_0026df888f12cafb,D4I2_5ddd5022674d86bd,P2_6840f743194c672b,single_compact_loop,60,S8_EXTENDED_0530_2400,330,1440,1,"[""R2_2bcf0029f121960ae1f2""]",[9],0.137814980904,0.375115044036,333.704363436,18,1,1,1,MAX_CONTINUOUS_TRANSFER_QUALITY_OVER_FINITE_EXPLICIT_TARGET_EVENTS,MAX_ROBUST_MIN_QUALITY_THEN_MAX_UNWEIGHTED_MEAN_QUALITY_THEN_LOWEST_ROUTE_PHASE_TUPLE__AFTER_CONTEXT_EXACT_BUDGET_FILTER,true
D3RT1_00466f9f968df02d,D4I2_f70d98dabf4fe2a9,P2_9209bd7a02798b24,blank_slate,60,S8_EXTENDED_0530_2400,330,1440,1,"[""R2_50cbed6bd2304a2611c2""]",[37],0.101091033602,0.288011146621,265.949131832,19,1,1,1,MAX_CONTINUOUS_TRANSFER_QUALITY_OVER_FINITE_EXPLICIT_TARGET_EVENTS,MAX_ROBUST_MIN_QUALITY_THEN_MAX_UNWEIGHTED_MEAN_QUALITY_THEN_LOWEST_ROUTE_PHASE_TUPLE__AFTER_CONTEXT_EXACT_BUDGET_FILTER,true
D3RT1_0048b67cd41f0fe1,D4I2_8349d0022406a76a,P2_f1c62743b99e7b34,blank_slate,60,S8_EXTENDED_0530_2400,330,1440,1,"[""R2_c9e7c074b0384c070a37""]",[35],0.257277376861,0.497145242631,158.483954041,19,1,1,1,MAX_CONTINUOUS_TRANSFER_QUALITY_OVER_FINITE_EXPLICIT_TARGET_EVENTS,MAX_ROBUST_MIN_QUALITY_THEN_MAX_UNWEIGHTED_MEAN_QUALITY_THEN_LOWEST_ROUTE_PHASE_TUPLE__AFTER_CONTEXT_EXACT_BUDGET_FILTER,true
D3RT1_004c211b643bf0be,D4I2_2a5ebdc66ac92ce3,P2_51773a89841455ea,scheduled_extensions,15,CORE_0600_2200,360,1320,1,"[""R2_ab5110a74d88f6a5a5dd""]",[4],0.326196194091,0.511224498196,178.507550464,64,1,1,2,MAX_CONTINUOUS_TRANSFER_QUALITY_OVER_FINITE_EXPLICIT_TARGET_EVENTS,MAX_ROBUST_MIN_QUALITY_THEN_MAX_UNWEIGHTED_MEAN_QUALITY_THEN_LOWEST_ROUTE_PHASE_TUPLE__AFTER_CONTEXT_EXACT_BUDGET_FILTER,true
D3RT1_0053dc1ad3f9cb87,D4I2_91ac5f2713cf8943,P2_0dad7306b7f24317,single_compact_loop,20,S8_EXTENDED_0530_2400,330,1440,1,"[""R2_39bacbd50eec4c1b1e98""]",[0],0.355055190867,0.519781824626,352.114582820,55,1,2,2,MAX_CONTINUOUS_TRANSFER_QUALITY_OVER_FINITE_EXPLICIT_TARGET_EVENTS,MAX_ROBUST_MIN_QUALITY_THEN_MAX_UNWEIGHTED_MEAN_QUALITY_THEN_LOWEST_ROUTE_PHASE_TUPLE__AFTER_CONTEXT_EXACT_BUDGET_FILTER,true
D3RT1_006cc0125e6195e3,D4I2_770c0a609d8b81a4,P2_01e5c4fbbdc65326,interlined_figure8,60,S8_EXTENDED_0530_2400,330,1440,2,"[""R2_dc9151068433d4bb84ad"",""R2_8c12b57f15614f4ec362""]","[7,8]",0.097090098777,0.404747730733,349.388395416,36,2,2,2,MAX_CONTINUOUS_TRANSFER_QUALITY_OVER_FINITE_EXPLICIT_TARGET_EVENTS,MAX_ROBUST_MIN_QUALITY_THEN_MAX_UNWEIGHTED_MEAN_QUALITY_THEN_LOWEST_ROUTE_PHASE_TUPLE__AFTER_CONTEXT_EXACT_BUDGET_FILTER,true
D3RT1_007167de5137a15e,D4I2_4480e2b5205eea9f,P2_5363ac395631237a,trunk_plus_branches,60,CORE_0600_2200,360,1320,2,"[""R2_beeb7f1f94e475b66aad"",""R2_62986fc9db50bbaf4fea""]","[35,35]",0.256907831081,0.342991937328,235.920942736,32,2,2,2,MAX_CONTINUOUS_TRANSFER_QUALITY_OVER_FINITE_EXPLICIT_TARGET_EVENTS,MAX_ROBUST_MIN_QUALITY_THEN_MAX_UNWEIGHTED_MEAN_QUALITY_THEN_LOWEST_ROUTE_PHASE_TUPLE__AFTER_CONTEXT_EXACT_BUDGET_FILTER,true
D3RT1_0071c4c8425b61f8,D4I2_32f753e199b1f0d9,P2_77839b72beac1a02,blank_slate,20,CORE_0600_2200,360,1320,1,"[""R2_44414a50e43c1d201872""]",[13],0.332373824910,0.483047668675,527.612764128,48,2,2,2,MAX_CONTINUOUS_TRANSFER_QUALITY_OVER_FINITE_EXPLICIT_TARGET_EVENTS,MAX_ROBUST_MIN_QUALITY_THEN_MAX_UNWEIGHTED_MEAN_QUALITY_THEN_LOWEST_ROUTE_PHASE_TUPLE__AFTER_CONTEXT_EXACT_BUDGET_FILTER,true
D3RT1_007712a05aece927,D4I2_4b02c443d5357455,P2_a23bb9ad728b2663,trunk_plus_branches,30,S8_EXTENDED_0530_2400,330,1440,2,"[""R2_a54204bfaea423e73556"",""R2_b36cbe6e206909377c2d""]","[6,6]",0.443714097269,0.653356353559,521.592383909,74,2,2,3,MAX_CONTINUOUS_TRANSFER_QUALITY_OVER_FINITE_EXPLICIT_TARGET_EVENTS,MAX_ROBUST_MIN_QUALITY_THEN_MAX_UNWEIGHTED_MEAN_QUALITY_THEN_LOWEST_ROUTE_PHASE_TUPLE__AFTER_CONTEXT_EXACT_BUDGET_FILTER,true
D3RT1_007e702b994920e8,D4I2_995028b925c99e2f,P2_b42a3dc6bfb42a55,single_compact_loop,15,S8_EXTENDED_0530_2400,330,1440,1,"[""R2_1b8c2e7ac7e006dde8dd""]",[9],0.271296088768,0.550023047702,500.358060488,74,2,2,2,MAX_CONTINUOUS_TRANSFER_QUALITY_OVER_FINITE_EXPLICIT_TARGET_EVENTS,MAX_ROBUST_MIN_QUALITY_THEN_MAX_UNWEIGHTED_MEAN_QUALITY_THEN_LOWEST_ROUTE_PHASE_TUPLE__AFTER_CONTEXT_EXACT_BUDGET_FILTER,true
D3RT1_008da22fd263d5d0,D4I2_919b8e5caefca696,P2_cdd20a132d6e273d,blank_slate,20,CORE_0600_2200,360,1320,1,"[""R2_700cd5fc23e4fb3cdeab""]",[10],0.361110632108,0.524012881913,452.104719408,48,2,2,2,MAX_CONTINUOUS_TRANSFER_QUALITY_OVER_FINITE_EXPLICIT_TARGET_EVENTS,MAX_ROBUST_MIN_QUALITY_THEN_MAX_UNWEIGHTED_MEAN_QUALITY_THEN_LOWEST_ROUTE_PHASE_TUPLE__AFTER_CONTEXT_EXACT_BUDGET_FILTER,true
D3RT1_00953581c054a0a6,D4I2_6c3df587f7864ca4,P2_a4cf2b62d63a2ad7,single_compact_loop,20,CORE_0600_2200,360,1320,1,"[""R2_cd1e54fbeac623fc65dd""]",[14],0.362884528578,0.480971085267,457.655072784,48,2,2,2,MAX_CONTINUOUS_TRANSFER_QUALITY_OVER_FINITE_EXPLICIT_TARGET_EVENTS,MAX_ROBUST_MIN_QUALITY_THEN_MAX_UNWEIGHTED_MEAN_QUALITY_THEN_LOWEST_ROUTE_PHASE_TUPLE__AFTER_CONTEXT_EXACT_BUDGET_FILTER,true
D3RT1_009bfe0ec44f1250,D4I2_cad8f1b38aa2fa8b,P2_799b81540a58ff49,hybrid_interlined,60,S8_EXTENDED_0530_2400,330,1440,2,"[""R2_2d3d09e077a2606f42d3"",""R2_bbe244e06be44e41e064""]","[34,5]",0.236208063189,0.457983321446,338.701420259,37,1,1,2,MAX_CONTINUOUS_TRANSFER_QUALITY_OVER_FINITE_EXPLICIT_TARGET_EVENTS,MAX_ROBUST_MIN_QUALITY_THEN_MAX_UNWEIGHTED_MEAN_QUALITY_THEN_LOWEST_ROUTE_PHASE_TUPLE__AFTER_CONTEXT_EXACT_BUDGET_FILTER,true
D3RT1_00a22a78a261e761,D4I2_9fc1195a80b89024,P2_4890d084d1793880,two_independent_loops,60,S8_EXTENDED_0530_2400,330,1440,2,"[""R2_aa6c2d56707742b372cd"",""R2_260fdd916ad44ff6c3dd""]","[4,4]",0.230599833099,0.444663492260,324.059277078,36,2,2,2,MAX_CONTINUOUS_TRANSFER_QUALITY_OVER_FINITE_EXPLICIT_TARGET_EVENTS,MAX_ROBUST_MIN_QUALITY_THEN_MAX_UNWEIGHTED_MEAN_QUALITY_THEN_LOWEST_ROUTE_PHASE_TUPLE__AFTER_CONTEXT_EXACT_BUDGET_FILTER,true
D3RT1_00a4fa60a043323b,D4I2_4978fb72172ce46e,P2_017387704e90dfa7,interlined_figure8,60,CORE_0600_2200,360,1320,2,"[""R2_b2032eeb31cba06561f0"",""R2_2ffb6743b10bb3f0a97d""]","[37,33]",0.147952325655,0.466936631280,309.575853776,32,2,2,2,MAX_CONTINUOUS_TRANSFER_QUALITY_OVER_FINITE_EXPLICIT_TARGET_EVENTS,MAX_ROBUST_MIN_QUALITY_THEN_MAX_UNWEIGHTED_MEAN_QUALITY_THEN_LOWEST_ROUTE_PHASE_TUPLE__AFTER_CONTEXT_EXACT_BUDGET_FILTER,true
D3RT1_00b3976779470f55,D4I2_1b99ab3b183da954,P2_cc79728089fa5e61,blank_slate,30,S8_EXTENDED_0530_2400,330,1440,1,"[""R2_6833db3b71bb55dfcae4""]",[16],0.127135732500,0.390119369368,513.695914690,37,2,2,2,MAX_CONTINUOUS_TRANSFER_QUALITY_OVER_FINITE_EXPLICIT_TARGET_EVENTS,MAX_ROBUST_MIN_QUALITY_THEN_MAX_UNWEIGHTED_MEAN_QUALITY_THEN_LOWEST_ROUTE_PHASE_TUPLE__AFTER_CONTEXT_EXACT_BUDGET_FILTER,true
D3RT1_00b54a5ce5a86f60,D4I2_44d058cdee0b1bfd,P2_0c10688550b04e3c,short_turn_overlay,60,S8_EXTENDED_0530_2400,330,1440,2,"[""R2_e3f872dd4e45bef0a329"",""R2_801e881ac82e1f0fd862""]","[35,35]",0.257277376861,0.343976709204,225.166832290,38,2,2,2,MAX_CONTINUOUS_TRANSFER_QUALITY_OVER_FINITE_EXPLICIT_TARGET_EVENTS,MAX_ROBUST_MIN_QUALITY_THEN_MAX_UNWEIGHTED_MEAN_QUALITY_THEN_LOWEST_ROUTE_PHASE_TUPLE__AFTER_CONTEXT_EXACT_BUDGET_FILTER,true
D3RT1_00b922bd22ab34d1,D4I2_90af639b76e1d470,P2_c9c682141e4170ab,scheduled_extensions,15,CORE_0600_2200,360,1320,1,"[""R2_3fefc0a4235e6c4bfa00""]",[13],0.307270352549,0.519461002189,271.522321984,64,2,2,2,MAX_CONTINUOUS_TRANSFER_QUALITY_OVER_FINITE_EXPLICIT_TARGET_EVENTS,MAX_ROBUST_MIN_QUALITY_THEN_MAX_UNWEIGHTED_MEAN_QUALITY_THEN_LOWEST_ROUTE_PHASE_TUPLE__AFTER_CONTEXT_EXACT_BUDGET_FILTER,true
D3RT1_00c09be4840fee85,D4I2_686f02799fbcc317,P2_eba4d27bd73722ca,interlined_figure8,60,S8_EXTENDED_0530_2400,330,1440,2,"[""R2_aa6c2d56707742b372cd"",""R2_c1c2b414d86488a77074""]","[3,40]",0.128624283654,0.423489894453,488.226081372,37,2,2,2,MAX_CONTINUOUS_TRANSFER_QUALITY_OVER_FINITE_EXPLICIT_TARGET_EVENTS,MAX_ROBUST_MIN_QUALITY_THEN_MAX_UNWEIGHTED_MEAN_QUALITY_THEN_LOWEST_ROUTE_PHASE_TUPLE__AFTER_CONTEXT_EXACT_BUDGET_FILTER,true
D3RT1_00d2a3fb47b4df34,D4I2_336f3032fa1a9f94,P2_5370404e553dd181,blank_slate,60,CORE_0600_2200,360,1320,1,"[""R2_6d1a632ce391f4389220""]",[36],0.206626552697,0.448749470423,342.491676704,16,1,1,1,MAX_CONTINUOUS_TRANSFER_QUALITY_OVER_FINITE_EXPLICIT_TARGET_EVENTS,MAX_ROBUST_MIN_QUALITY_THEN_MAX_UNWEIGHTED_MEAN_QUALITY_THEN_LOWEST_ROUTE_PHASE_TUPLE__AFTER_CONTEXT_EXACT_BUDGET_FILTER,true
D3RT1_00dca5b5b197c472,D4I2_238bd5a6d6614c80,P2_3df214e9a0f8f532,single_compact_loop,60,S8_EXTENDED_0530_2400,330,1440,1,"[""R2_177f69f34d520765b67f""]",[9],0.155877833865,0.400155407022,355.465488582,18,1,1,1,MAX_CONTINUOUS_TRANSFER_QUALITY_OVER_FINITE_EXPLICIT_TARGET_EVENTS,MAX_ROBUST_MIN_QUALITY_THEN_MAX_UNWEIGHTED_MEAN_QUALITY_THEN_LOWEST_ROUTE_PHASE_TUPLE__AFTER_CONTEXT_EXACT_BUDGET_FILTER,true
D3RT1_00ed8318de79d6a5,D4I2_742416ecc38d5547,P2_e2edc885b2792a44,interlined_figure8,60,CORE_0600_2200,360,1320,2,"[""R2_b2032eeb31cba06561f0"",""R2_52119d54164c2a867080""]","[37,33]",0.147952325655,0.468250216275,292.806946592,32,2,2,2,MAX_CONTINUOUS_TRANSFER_QUALITY_OVER_FINITE_EXPLICIT_TARGET_EVENTS,MAX_ROBUST_MIN_QUALITY_THEN_MAX_UNWEIGHTED_MEAN_QUALITY_THEN_LOWEST_ROUTE_PHASE_TUPLE__AFTER_CONTEXT_EXACT_BUDGET_FILTER,true
D3RT1_00f23926e9ff69a9,D4I2_912bed22badcc94f,P2_029799724eff8d10,trunk_plus_branches,60,CORE_0600_2200,360,1320,2,"[""R2_b57d0622965f882f57f2"",""R2_7a70abc5d0330f1e5d26""]","[35,35]",0.256907831081,0.342991937328,325.649832032,32,2,2,2,MAX_CONTINUOUS_TRANSFER_QUALITY_OVER_FINITE_EXPLICIT_TARGET_EVENTS,MAX_ROBUST_MIN_QUALITY_THEN_MAX_UNWEIGHTED_MEAN_QUALITY_THEN_LOWEST_ROUTE_PHASE_TUPLE__AFTER_CONTEXT_EXACT_BUDGET_FILTER,true
D3RT1_00fb11caff3118df,D4I2_71f300e0016a9ae1,P2_22eb214f4e03dcc7,interlined_figure8,60,S8_EXTENDED_0530_2400,330,1440,2,"[""R2_931841a8e679d367b600"",""R2_93eeaf987a5db7bc47f3""]","[41,3]",0.121553326781,0.405394035730,470.198477820,37,2,2,2,MAX_CONTINUOUS_TRANSFER_QUALITY_OVER_FINITE_EXPLICIT_TARGET_EVENTS,MAX_ROBUST_MIN_QUALITY_THEN_MAX_UNWEIGHTED_MEAN_QUALITY_THEN_LOWEST_ROUTE_PHASE_TUPLE__AFTER_CONTEXT_EXACT_BUDGET_FILTER,true
D3RT1_00fb797bc50a3b6a,D4I2_359c5c2a5d231416,P2_588a6629296f4a23,two_radial_out_and_back_feeders,60,S8_EXTENDED_0530_2400,330,1440,2,"[""R2_d6c4f07e4182bf0d5719"",""R2_ab5110a74d88f6a5a5dd""]","[39,39]",0.156077069698,0.418844196440,101.793722384,38,2,2,2,MAX_CONTINUOUS_TRANSFER_QUALITY_OVER_FINITE_EXPLICIT_TARGET_EVENTS,MAX_ROBUST_MIN_QUALITY_THEN_MAX_UNWEIGHTED_MEAN_QUALITY_THEN_LOWEST_ROUTE_PHASE_TUPLE__AFTER_CONTEXT_EXACT_BUDGET_FILTER,true
D3RT1_0118e85edc1cef57,D4I2_795dd57bdfad69c0,P2_24fdc348d8824dea,two_independent_loops,60,S8_EXTENDED_0530_2400,330,1440,2,"[""R2_d34bc59b438762353bed"",""R2_bc1d42637314bce3aa9b""]","[3,3]",0.146940520173,0.451911305519,349.787611476,36,2,2,2,MAX_CONTINUOUS_TRANSFER_QUALITY_OVER_FINITE_EXPLICIT_TARGET_EVENTS,MAX_ROBUST_MIN_QUALITY_THEN_MAX_UNWEIGHTED_MEAN_QUALITY_THEN_LOWEST_ROUTE_PHASE_TUPLE__AFTER_CONTEXT_EXACT_BUDGET_FILTER,true
D3RT1_01278744d37066ad,D4I2_24fbdb78b92a69b5,P2_14a68a5b3da1af0e,two_radial_out_and_back_feeders,60,S8_EXTENDED_0530_2400,330,1440,2,"[""R2_784126898d550427dc92"",""R2_6c1e27fdcff47c2ff7aa""]","[8,8]",0.156088181479,0.428312201249,139.503420180,36,2,2,2,MAX_CONTINUOUS_TRANSFER_QUALITY_OVER_FINITE_EXPLICIT_TARGET_EVENTS,MAX_ROBUST_MIN_QUALITY_THEN_MAX_UNWEIGHTED_MEAN_QUALITY_THEN_LOWEST_ROUTE_PHASE_TUPLE__AFTER_CONTEXT_EXACT_BUDGET_FILTER,true
D3RT1_0133d37e77fab723,D4I2_e739df6823db9d84,P2_e25c1ac49dceb1d6,two_independent_loops,60,S8_EXTENDED_0530_2400,330,1440,2,"[""R2_b2032eeb31cba06561f0"",""R2_3d80fafaef5a556c8c04""]","[7,40]",0.137737847584,0.454971087201,424.829574747,37,2,2,2,MAX_CONTINUOUS_TRANSFER_QUALITY_OVER_FINITE_EXPLICIT_TARGET_EVENTS,MAX_ROBUST_MIN_QUALITY_THEN_MAX_UNWEIGHTED_MEAN_QUALITY_THEN_LOWEST_ROUTE_PHASE_TUPLE__AFTER_CONTEXT_EXACT_BUDGET_FILTER,true
D3RT1_013a668f2ad7e843,D4I2_b2f9aaf4fa85338b,P2_15dfb6724b6f350c,two_independent_loops,60,CORE_0600_2200,360,1320,2,"[""R2_931841a8e679d367b600"",""R2_9a0eaf2ed0796a545e3a""]","[41,33]",0.121378769695,0.381106337081,442.166623696,32,2,2,2,MAX_CONTINUOUS_TRANSFER_QUALITY_OVER_FINITE_EXPLICIT_TARGET_EVENTS,MAX_ROBUST_MIN_QUALITY_THEN_MAX_UNWEIGHTED_MEAN_QUALITY_THEN_LOWEST_ROUTE_PHASE_TUPLE__AFTER_CONTEXT_EXACT_BUDGET_FILTER,true
D3RT1_014085e734ad942c,D4I2_7a1c5995613a48e3,P2_a985cd50070c67bd,hybrid_interlined,30,CORE_0600_2200,360,1320,2,"[""R2_88578ad00e2337256fd4"",""R2_dbc7ef02fd6d81ac70ef""]","[8,12]",0.203061004459,0.602373980209,265.571864352,64,2,2,2,MAX_CONTINUOUS_TRANSFER_QUALITY_OVER_FINITE_EXPLICIT_TARGET_EVENTS,MAX_ROBUST_MIN_QUALITY_THEN_MAX_UNWEIGHTED_MEAN_QUALITY_THEN_LOWEST_ROUTE_PHASE_TUPLE__AFTER_CONTEXT_EXACT_BUDGET_FILTER,true
D3RT1_0142857e740e2e3b,D4I2_9488056ec88af111,P2_a44745e961005b24,single_compact_loop,20,S8_EXTENDED_0530_2400,330,1440,1,"[""R2_6fc8006689b7ff6ba32d""]",[13],0.350492376671,0.489528320160,397.217340800,56,2,2,2,MAX_CONTINUOUS_TRANSFER_QUALITY_OVER_FINITE_EXPLICIT_TARGET_EVENTS,MAX_ROBUST_MIN_QUALITY_THEN_MAX_UNWEIGHTED_MEAN_QUALITY_THEN_LOWEST_ROUTE_PHASE_TUPLE__AFTER_CONTEXT_EXACT_BUDGET_FILTER,true
D3RT1_014ad35f246577d9,D4I2_eb6962462aee072f,P2_8845d39fe06ee2e8,hybrid_interlined,15,CORE_0600_2200,360,1320,2,"[""R2_36a767ee3b33149a43c5"",""R2_3fefc0a4235e6c4bfa00""]","[4,13]",0.307270352549,0.514617043763,409.547629632,128,3,3,4,MAX_CONTINUOUS_TRANSFER_QUALITY_OVER_FINITE_EXPLICIT_TARGET_EVENTS,MAX_ROBUST_MIN_QUALITY_THEN_MAX_UNWEIGHTED_MEAN_QUALITY_THEN_LOWEST_ROUTE_PHASE_TUPLE__AFTER_CONTEXT_EXACT_BUDGET_FILTER,true
D3RT1_015a61dc7263734f,D4I2_97c5b8dfb71e3bb4,P2_2a42395028fc01ab,interlined_figure8,60,CORE_0600_2200,360,1320,2,"[""R2_b2032eeb31cba06561f0"",""R2_6c9a51533e848de378cd""]","[36,34]",0.204185090109,0.468815647739,306.846067472,32,2,2,2,MAX_CONTINUOUS_TRANSFER_QUALITY_OVER_FINITE_EXPLICIT_TARGET_EVENTS,MAX_ROBUST_MIN_QUALITY_THEN_MAX_UNWEIGHTED_MEAN_QUALITY_THEN_LOWEST_ROUTE_PHASE_TUPLE__AFTER_CONTEXT_EXACT_BUDGET_FILTER,true
D3RT1_015b75168205f441,D4I2_551c7ebf4bc834bf,P2_d1d9a62744393bb0,blank_slate,30,S8_EXTENDED_0530_2400,330,1440,1,"[""R2_1e9bd47918bd59035b9c""]",[4],0.241898918416,0.544802137639,420.828088070,37,1,2,2,MAX_CONTINUOUS_TRANSFER_QUALITY_OVER_FINITE_EXPLICIT_TARGET_EVENTS,MAX_ROBUST_MIN_QUALITY_THEN_MAX_UNWEIGHTED_MEAN_QUALITY_THEN_LOWEST_ROUTE_PHASE_TUPLE__AFTER_CONTEXT_EXACT_BUDGET_FILTER,true
D3RT1_0162296e08c5b10f,D4I2_2029cd0a197c798e,P2_7dc1c06373d423af,blank_slate,30,S8_EXTENDED_0530_2400,330,1440,1,"[""R2_1d550efd246ecfb3b1c8""]",[16],0.121709264122,0.377792688410,485.663239796,37,2,2,2,MAX_CONTINUOUS_TRANSFER_QUALITY_OVER_FINITE_EXPLICIT_TARGET_EVENTS,MAX_ROBUST_MIN_QUALITY_THEN_MAX_UNWEIGHTED_MEAN_QUALITY_THEN_LOWEST_ROUTE_PHASE_TUPLE__AFTER_CONTEXT_EXACT_BUDGET_FILTER,true
D3RT1_01771c8d38174cbd,D4I2_871523ea17e72e3e,P2_091c3b2e9345089a,scheduled_extensions,15,CORE_0600_2200,360,1320,1,"[""R2_3fefc0a4235e6c4bfa00""]",[13],0.307270352549,0.519461002189,271.522321984,64,2,2,2,MAX_CONTINUOUS_TRANSFER_QUALITY_OVER_FINITE_EXPLICIT_TARGET_EVENTS,MAX_ROBUST_MIN_QUALITY_THEN_MAX_UNWEIGHTED_MEAN_QUALITY_THEN_LOWEST_ROUTE_PHASE_TUPLE__AFTER_CONTEXT_EXACT_BUDGET_FILTER,true
D3RT1_01779a20562ff95f,D4I2_9c9171df5900c6e7,P2_765e46e0ec9e404e,short_turn_overlay,60,S8_EXTENDED_0530_2400,330,1440,2,"[""R2_c47a2815fd7b7a85e39e"",""R2_9046289fedeaf4564d40""]","[35,35]",0.257277376861,0.343976709204,357.576949398,38,2,2,2,MAX_CONTINUOUS_TRANSFER_QUALITY_OVER_FINITE_EXPLICIT_TARGET_EVENTS,MAX_ROBUST_MIN_QUALITY_THEN_MAX_UNWEIGHTED_MEAN_QUALITY_THEN_LOWEST_ROUTE_PHASE_TUPLE__AFTER_CONTEXT_EXACT_BUDGET_FILTER,true
D3RT1_017d92a6a4fc4e4a,D4I2_fa9ab65facec9c35,P2_a9a6cdd5bd4c449a,two_independent_loops,60,S8_EXTENDED_0530_2400,330,1440,2,"[""R2_e74ceaa2000bb19d2a3e"",""R2_a365c2ef3be08dd05dc5""]","[8,6]",0.093144158987,0.402755768439,421.161633846,36,2,2,2,MAX_CONTINUOUS_TRANSFER_QUALITY_OVER_FINITE_EXPLICIT_TARGET_EVENTS,MAX_ROBUST_MIN_QUALITY_THEN_MAX_UNWEIGHTED_MEAN_QUALITY_THEN_LOWEST_ROUTE_PHASE_TUPLE__AFTER_CONTEXT_EXACT_BUDGET_FILTER,true
D3RT1_017dd6a3380fbb22,D4I2_5e26d8633595d9c4,P2_308ea3939065e519,interlined_figure8,60,S8_EXTENDED_0530_2400,330,1440,2,"[""R2_b2032eeb31cba06561f0"",""R2_1c2c8457453f076bae5f""]","[7,33]",0.147952325655,0.466808824008,320.047019116,37,1,1,2,MAX_CONTINUOUS_TRANSFER_QUALITY_OVER_FINITE_EXPLICIT_TARGET_EVENTS,MAX_ROBUST_MIN_QUALITY_THEN_MAX_UNWEIGHTED_MEAN_QUALITY_THEN_LOWEST_ROUTE_PHASE_TUPLE__AFTER_CONTEXT_EXACT_BUDGET_FILTER,true
D3RT1_01993bcb0c322083,D4I2_68645768dc6a1a51,P2_84348679dad3af08,blank_slate,60,S8_EXTENDED_0530_2400,330,1440,1,"[""R2_47d213c3b5de580c7d23""]",[43],0.094665866416,0.307796328941,227.334819196,19,1,1,1,MAX_CONTINUOUS_TRANSFER_QUALITY_OVER_FINITE_EXPLICIT_TARGET_EVENTS,MAX_ROBUST_MIN_QUALITY_THEN_MAX_UNWEIGHTED_MEAN_QUALITY_THEN_LOWEST_ROUTE_PHASE_TUPLE__AFTER_CONTEXT_EXACT_BUDGET_FILTER,true
