source_anchor_id,source_kind,source_record_id,source_name,municipality,lon,lat,graph_node_id,snap_distance_m,snap_status,evidence_status,source_scope,physical_status,candidate_status,highway,road_uncertainty_flags,route_ready,epoch_id,routing_anchor_id,collapse_reason
existing:EX_001,EXISTING_PHYSICAL_STOP_CLUSTER,100005,Brivio - s.s. briantea,Brivio,9.422710000,45.734640000,n:532851.78:5064657.22,36.159248926,ROUTE_READY_LE_75M,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_NOT_CURRENT_SERVICE,GATE_B_CORE_GTFS_RECORD,EXISTING_OFFICIAL_STOP_CLUSTER,NOT_PROPOSED,,,true,gate-d-2026-09-03-834d5caa0bfd,existing:EX_001,UNIQUE_GRAPH_NODE
existing:EX_002,EXISTING_PHYSICAL_STOP_CLUSTER,300063,Brivio - capolinea,Brivio,9.445700000,45.741333000,n:534678.16:5065404.73,6.130956667,ROUTE_READY_LE_75M,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_NOT_CURRENT_SERVICE,GATE_B_CORE_GTFS_RECORD,EXISTING_OFFICIAL_STOP_CLUSTER,NOT_PROPOSED,,,true,gate-d-2026-09-03-834d5caa0bfd,existing:EX_002,UNIQUE_GRAPH_NODE
existing:EX_003,EXISTING_PHYSICAL_STOP_CLUSTER,L00086,Brivio - beverate (cariplo),Brivio,9.423083000,45.740517000,n:532908.34:5065306.79,5.133888196,ROUTE_READY_LE_75M,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_NOT_CURRENT_SERVICE,GATE_B_CORE_GTFS_RECORD,EXISTING_OFFICIAL_STOP_CLUSTER,NOT_PROPOSED,,,true,gate-d-2026-09-03-834d5caa0bfd,existing:EX_003,UNIQUE_GRAPH_NODE
existing:EX_004,EXISTING_PHYSICAL_STOP_CLUSTER,300087,Brivio - vaccarezza,Brivio,9.436083000,45.736850000,n:533924.18:5064904.08,2.731631695,ROUTE_READY_LE_75M,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_NOT_CURRENT_SERVICE,GATE_B_CORE_GTFS_RECORD,EXISTING_OFFICIAL_STOP_CLUSTER,NOT_PROPOSED,,,true,gate-d-2026-09-03-834d5caa0bfd,existing:EX_004,UNIQUE_GRAPH_NODE
existing:EX_005,EXISTING_PHYSICAL_STOP_CLUSTER,L00089,Calco - via statale (edicola),Calco,9.415133000,45.723817000,n:532307.89:5063449.27,4.753781980,ROUTE_READY_LE_75M,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_NOT_CURRENT_SERVICE,GATE_B_CORE_GTFS_RECORD,EXISTING_OFFICIAL_STOP_CLUSTER,NOT_PROPOSED,,,true,gate-d-2026-09-03-834d5caa0bfd,existing:EX_005,UNIQUE_GRAPH_NODE
existing:EX_006,EXISTING_PHYSICAL_STOP_CLUSTER,300207,S.Maria Hoe' - paese,Santa Maria Ho̬,9.387230000,45.738470000,n:530138.79:5065052.68,17.349430444,ROUTE_READY_LE_75M,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_NOT_CURRENT_SERVICE,GATE_B_CORE_GTFS_RECORD,EXISTING_OFFICIAL_STOP_CLUSTER,NOT_PROPOSED,,,true,gate-d-2026-09-03-834d5caa0bfd,existing:EX_006,UNIQUE_GRAPH_NODE
existing:EX_007,EXISTING_PHYSICAL_STOP_CLUSTER,300397,Calco - via virgilio,Calco,9.414950000,45.724950000,n:532282.82:5063572.95,6.612103668,ROUTE_READY_LE_75M,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_NOT_CURRENT_SERVICE,GATE_B_CORE_GTFS_RECORD,EXISTING_OFFICIAL_STOP_CLUSTER,NOT_PROPOSED,,,true,gate-d-2026-09-03-834d5caa0bfd,existing:EX_007,COLLAPSED_SAME_FROZEN_GRAPH_NODE
existing:EX_008,EXISTING_PHYSICAL_STOP_CLUSTER,L00398,Brivio - beverate (paese),Brivio,9.428150000,45.737317000,n:533312.71:5064950.82,3.588222979,ROUTE_READY_LE_75M,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_NOT_CURRENT_SERVICE,GATE_B_CORE_GTFS_RECORD,EXISTING_OFFICIAL_STOP_CLUSTER,NOT_PROPOSED,,,true,gate-d-2026-09-03-834d5caa0bfd,existing:EX_008,UNIQUE_GRAPH_NODE
existing:EX_009,EXISTING_PHYSICAL_STOP_CLUSTER,L00405,Cisano - sosta,Brivio,9.451383000,45.739967000,n:535120.41:5065256.67,5.497522789,ROUTE_READY_LE_75M,DERIVED_OFFICIAL_GTFS_REFERENCE_PERIOD_CLUSTER_CENTROID,ANALYSIS_ENVELOPE_GATE_D_GTFS_CLUSTER_CENTROID|GATE_B_CORE_GTFS_RECORD,EXISTING_OFFICIAL_STOP_CLUSTER,NOT_PROPOSED,,,true,gate-d-2026-09-03-834d5caa0bfd,existing:EX_009,UNIQUE_GRAPH_NODE
existing:EX_010,EXISTING_PHYSICAL_STOP_CLUSTER,300406,Brivio - via como (pizzeria),Brivio,9.439367000,45.742417000,n:534184.20:5065526.96,6.905768590,ROUTE_READY_LE_75M,FACT_OFFICIAL_GTFS_REFERENCE_PERIOD_NOT_CURRENT_SERVICE,GATE_B_CORE_GTFS_RECORD,EXISTING_OFFICIAL_STOP_CLUSTER,NOT_PROPOSED,,,true,gate-d-2026-09-03-834d5caa0bfd,existing:EX_010,UNIQUE_GRAPH_NODE
