preprune_row,representative_preprune_row,pruned,reason,distance_m,catchment_jaccard
0,0,False,RETAINED_SPATIAL_ORDER,,
1,0,True,CANDIDATE_SPACING_REDUNDANCY,195.22386130274802,
2,2,False,RETAINED_SPATIAL_ORDER,,
3,2,True,CANDIDATE_SPACING_REDUNDANCY,149.5862838179301,
4,4,False,RETAINED_SPATIAL_ORDER,,
5,2,True,CANDIDATE_SPACING_REDUNDANCY,195.9876794194068,
6,4,True,CANDIDATE_SPACING_REDUNDANCY,141.3680965379575,
7,7,False,RETAINED_SPATIAL_ORDER,,
8,8,False,RETAINED_SPATIAL_ORDER,,
9,9,False,RETAINED_SPATIAL_ORDER,,
10,9,True,CANDIDATE_SPACING_REDUNDANCY,185.66790809963337,
11,7,True,CANDIDATE_SPACING_REDUNDANCY,209.05412174952923,
12,12,False,RETAINED_SPATIAL_ORDER,,
13,9,True,CANDIDATE_SPACING_REDUNDANCY,195.1952719689389,
14,12,True,CANDIDATE_SPACING_REDUNDANCY,149.57382329905838,
15,12,True,CANDIDATE_SPACING_REDUNDANCY,184.9855260173026,
16,16,False,RETAINED_SPATIAL_ORDER,,
17,17,False,RETAINED_SPATIAL_ORDER,,
18,18,False,RETAINED_SPATIAL_ORDER,,
19,16,True,CANDIDATE_SPACING_REDUNDANCY,156.8365570718007,
20,18,True,CANDIDATE_SPACING_REDUNDANCY,160.4233007574252,
21,21,False,RETAINED_SPATIAL_ORDER,,
22,16,True,CANDIDATE_SPACING_REDUNDANCY,215.84336899980315,
23,23,False,RETAINED_SPATIAL_ORDER,,
24,17,True,CANDIDATE_SPACING_REDUNDANCY,197.60856290646524,
25,21,True,CANDIDATE_SPACING_REDUNDANCY,199.07756344097064,
26,26,False,RETAINED_SPATIAL_ORDER,,
27,27,False,RETAINED_SPATIAL_ORDER,,
28,28,False,RETAINED_SPATIAL_ORDER,,
29,29,False,RETAINED_SPATIAL_ORDER,,
30,30,False,RETAINED_SPATIAL_ORDER,,
31,29,True,CANDIDATE_SPACING_REDUNDANCY,175.39032825532354,
32,28,True,CANDIDATE_SPACING_REDUNDANCY,140.69174257699495,
33,30,True,CANDIDATE_SPACING_REDUNDANCY,149.95178627596096,
34,27,True,CANDIDATE_SPACING_REDUNDANCY,203.37560327684344,
35,35,False,RETAINED_SPATIAL_ORDER,,
36,36,False,RETAINED_SPATIAL_ORDER,,
37,29,True,CANDIDATE_SPACING_REDUNDANCY,140.93342314112252,
38,38,False,RETAINED_SPATIAL_ORDER,,
39,39,False,RETAINED_SPATIAL_ORDER,,
40,40,False,RETAINED_SPATIAL_ORDER,,
41,41,False,RETAINED_SPATIAL_ORDER,,
42,42,False,RETAINED_SPATIAL_ORDER,,
43,43,False,RETAINED_SPATIAL_ORDER,,
44,36,True,CANDIDATE_SPACING_REDUNDANCY,148.23280567709068,
45,45,False,RETAINED_SPATIAL_ORDER,,
46,46,False,RETAINED_SPATIAL_ORDER,,
47,39,True,CANDIDATE_SPACING_REDUNDANCY,149.99938719285532,
48,41,True,CANDIDATE_SPACING_REDUNDANCY,205.97646387561335,
49,41,True,CANDIDATE_SPACING_REDUNDANCY,144.75793473362384,
50,38,True,CANDIDATE_SPACING_REDUNDANCY,194.53422706154697,
51,51,False,RETAINED_SPATIAL_ORDER,,
52,52,False,RETAINED_SPATIAL_ORDER,,
53,53,False,RETAINED_SPATIAL_ORDER,,
54,54,False,RETAINED_SPATIAL_ORDER,,
55,42,True,CANDIDATE_SPACING_REDUNDANCY,213.15199532341234,
56,56,False,RETAINED_SPATIAL_ORDER,,
57,54,True,CANDIDATE_SPACING_REDUNDANCY,201.63192202941673,
58,58,False,RETAINED_SPATIAL_ORDER,,
59,54,True,CANDIDATE_SPACING_REDUNDANCY,209.245199644488,
60,52,True,CANDIDATE_SPACING_REDUNDANCY,170.2094750829307,
61,51,True,CANDIDATE_SPACING_REDUNDANCY,186.72076579900278,
62,45,True,CANDIDATE_SPACING_REDUNDANCY,217.558157092718,
63,63,False,RETAINED_SPATIAL_ORDER,,
64,64,False,RETAINED_SPATIAL_ORDER,,
65,65,False,RETAINED_SPATIAL_ORDER,,
66,56,True,CANDIDATE_SPACING_REDUNDANCY,205.5549312753541,
67,56,True,CANDIDATE_SPACING_REDUNDANCY,166.00776891069378,
68,58,True,CANDIDATE_SPACING_REDUNDANCY,175.19925351806984,
69,69,False,RETAINED_SPATIAL_ORDER,,
70,70,False,RETAINED_SPATIAL_ORDER,,
71,64,True,CANDIDATE_SPACING_REDUNDANCY,152.4674339617603,
72,58,True,CANDIDATE_SPACING_REDUNDANCY,203.96997782964257,
73,73,False,RETAINED_SPATIAL_ORDER,,
74,63,True,CANDIDATE_SPACING_REDUNDANCY,148.26175002440849,
75,64,True,CANDIDATE_SPACING_REDUNDANCY,174.53259564651344,
76,76,False,RETAINED_SPATIAL_ORDER,,
77,69,True,CANDIDATE_SPACING_REDUNDANCY,148.12199437003457,
78,78,False,RETAINED_SPATIAL_ORDER,,
79,79,False,RETAINED_SPATIAL_ORDER,,
80,70,True,CANDIDATE_SPACING_REDUNDANCY,186.42539093548433,
81,81,False,RETAINED_SPATIAL_ORDER,,
82,82,False,RETAINED_SPATIAL_ORDER,,
83,83,False,RETAINED_SPATIAL_ORDER,,
84,84,False,RETAINED_SPATIAL_ORDER,,
85,85,False,RETAINED_SPATIAL_ORDER,,
86,73,True,CANDIDATE_SPACING_REDUNDANCY,182.25350353492905,
87,78,True,CANDIDATE_SPACING_REDUNDANCY,200.17103070825792,
88,88,False,RETAINED_SPATIAL_ORDER,,
89,73,True,CANDIDATE_SPACING_REDUNDANCY,193.9659183328428,
90,90,False,RETAINED_SPATIAL_ORDER,,
91,83,True,CANDIDATE_SPACING_REDUNDANCY,188.00685606514085,
92,82,True,CANDIDATE_SPACING_REDUNDANCY,164.1006200448981,
93,82,True,CANDIDATE_SPACING_REDUNDANCY,169.67940646984803,
94,94,False,RETAINED_SPATIAL_ORDER,,
95,95,False,RETAINED_SPATIAL_ORDER,,
96,85,True,CANDIDATE_SPACING_REDUNDANCY,159.2293237296994,
97,97,False,RETAINED_SPATIAL_ORDER,,
98,83,True,CANDIDATE_SPACING_REDUNDANCY,155.29429676004014,
99,99,False,RETAINED_SPATIAL_ORDER,,
100,100,False,RETAINED_SPATIAL_ORDER,,
101,101,False,RETAINED_SPATIAL_ORDER,,
102,85,True,CANDIDATE_SPACING_REDUNDANCY,205.4746471749563,
103,94,True,CANDIDATE_SPACING_REDUNDANCY,159.48287790790215,
104,104,False,RETAINED_SPATIAL_ORDER,,
105,97,True,CANDIDATE_SPACING_REDUNDANCY,183.67284321355032,
106,106,False,RETAINED_SPATIAL_ORDER,,
107,94,True,CANDIDATE_SPACING_REDUNDANCY,191.63729145010996,
108,99,True,CANDIDATE_SPACING_REDUNDANCY,206.56547970299042,
109,100,True,CANDIDATE_SPACING_REDUNDANCY,149.52380759086765,
110,110,False,RETAINED_SPATIAL_ORDER,,
111,111,False,RETAINED_SPATIAL_ORDER,,
112,95,True,CANDIDATE_SPACING_REDUNDANCY,189.9250535596052,
113,94,True,CANDIDATE_SPACING_REDUNDANCY,191.3908819392154,
114,114,False,RETAINED_SPATIAL_ORDER,,
115,115,False,RETAINED_SPATIAL_ORDER,,
116,106,True,CANDIDATE_SPACING_REDUNDANCY,194.97492736439568,
117,117,False,RETAINED_SPATIAL_ORDER,,
118,104,True,CANDIDATE_SPACING_REDUNDANCY,162.88453263933752,
119,119,False,RETAINED_SPATIAL_ORDER,,
120,120,False,RETAINED_SPATIAL_ORDER,,
121,121,False,RETAINED_SPATIAL_ORDER,,
122,117,True,CANDIDATE_SPACING_REDUNDANCY,149.30785569973042,
123,123,False,RETAINED_SPATIAL_ORDER,,
124,111,True,CANDIDATE_SPACING_REDUNDANCY,172.37699849693897,
125,121,True,CANDIDATE_SPACING_REDUNDANCY,194.77852644468948,
126,126,False,RETAINED_SPATIAL_ORDER,,
127,127,False,RETAINED_SPATIAL_ORDER,,
128,128,False,RETAINED_SPATIAL_ORDER,,
129,129,False,RETAINED_SPATIAL_ORDER,,
130,121,True,CANDIDATE_SPACING_REDUNDANCY,153.09114734598367,
131,123,True,CANDIDATE_SPACING_REDUNDANCY,155.3594914042774,
132,132,False,RETAINED_SPATIAL_ORDER,,
133,115,True,CANDIDATE_SPACING_REDUNDANCY,185.30900567101722,
134,126,True,CANDIDATE_SPACING_REDUNDANCY,149.96160317998837,
135,119,True,CANDIDATE_SPACING_REDUNDANCY,174.1064487806721,
136,123,True,CANDIDATE_SPACING_REDUNDANCY,164.01533036496116,
137,137,False,RETAINED_SPATIAL_ORDER,,
138,138,False,RETAINED_SPATIAL_ORDER,,
139,126,True,CANDIDATE_SPACING_REDUNDANCY,153.8681558609771,
140,140,False,RETAINED_SPATIAL_ORDER,,
141,129,True,CANDIDATE_SPACING_REDUNDANCY,173.19608846922603,
142,128,True,CANDIDATE_SPACING_REDUNDANCY,143.1571289598426,
143,143,False,RETAINED_SPATIAL_ORDER,,
144,144,False,RETAINED_SPATIAL_ORDER,,
145,127,True,CANDIDATE_SPACING_REDUNDANCY,167.5406106511981,
146,140,True,CANDIDATE_SPACING_REDUNDANCY,147.53760213525223,
147,147,False,RETAINED_SPATIAL_ORDER,,
148,143,True,CANDIDATE_SPACING_REDUNDANCY,199.59640476717132,
149,149,False,RETAINED_SPATIAL_ORDER,,
150,150,False,RETAINED_SPATIAL_ORDER,,
151,151,False,RETAINED_SPATIAL_ORDER,,
152,150,True,CANDIDATE_SPACING_REDUNDANCY,161.11355387303252,
153,129,True,CANDIDATE_SPACING_REDUNDANCY,211.26626573498186,
154,144,True,CANDIDATE_SPACING_REDUNDANCY,149.99404601047524,
155,155,False,RETAINED_SPATIAL_ORDER,,
156,156,False,RETAINED_SPATIAL_ORDER,,
157,157,False,RETAINED_SPATIAL_ORDER,,
158,158,False,RETAINED_SPATIAL_ORDER,,
159,155,True,CANDIDATE_SPACING_REDUNDANCY,146.82988603630585,
160,160,False,RETAINED_SPATIAL_ORDER,,
161,161,False,RETAINED_SPATIAL_ORDER,,
162,162,False,RETAINED_SPATIAL_ORDER,,
163,156,True,CANDIDATE_SPACING_REDUNDANCY,141.03891193601194,
164,164,False,RETAINED_SPATIAL_ORDER,,
165,162,True,CANDIDATE_SPACING_REDUNDANCY,201.4202201763985,
166,161,True,CANDIDATE_SPACING_REDUNDANCY,187.8302803330175,
167,167,False,RETAINED_SPATIAL_ORDER,,
168,149,True,CANDIDATE_SPACING_REDUNDANCY,152.39365664246276,
169,150,True,CANDIDATE_SPACING_REDUNDANCY,142.91425577089473,
170,170,False,RETAINED_SPATIAL_ORDER,,
