service_identity_id,representative_plan_id,plan_alias_count,scenario_alias_count,topology_family_alias_count,topology_families_json,plan_ids_json,scenario_ids_json,route_phases_json,uniform_headway_min,span_id,calendar_id,robust_frontier_classes,span_minutes,annual_service_days,exact_annual_bus_km,public_route_count,public_population_coverage_share_5min,public_population_coverage_share_8min,public_population_coverage_share_10min,public_worst_municipality_coverage_share_5min,public_worst_municipality_coverage_share_8min,public_worst_municipality_coverage_share_10min,public_structurally_addressable_worker_od_mass_upper_bound,stress_min_connection_match_share,stress_median_connection_match_share,stress_max_unmatched_connection_event_count,stress_max_incomplete_route_count,stress_worst_route_weighted_mean_gap_min,stress_max_fleet_recovery15,public_explicit_existing_stop_count,public_explicit_proposed_stop_count,public_explicit_field_check_pending_count,operational_identity_metrics_invariant,family_label_used_to_select_representative,primary_selected,runner_up_selected
P2SERVICE_0335216161349b0f,P2PLAN_4a3de8aecdb653f0,2,2,2,"[""blank_slate"",""single_compact_loop""]","[""P2PLAN_4a3de8aecdb653f0"",""P2PLAN_6577419da931e528""]","[""P2_630176384d80fc43"",""P2_9b0e07f1e04fa248""]","[[""R2_7cc74030c04e0d37f453"",37]]",60,CORE_0600_2200,IDEALISED_DAILY_YEAR,ROBUST_PASSENGER_UNRESTRICTED,960,365,110479.869615,1,0.162592736817,0.303194432711,0.373691989625,0.0,0.0,0.0,753.0,0.9787234042553191,0.9893617021276596,2,1,30.83245252106254,1,3,1,1,true,false,false,false
P2SERVICE_0392c462c3b68509,P2PLAN_02391cf50d2c96df,2,2,2,"[""interlined_figure8"",""two_independent_loops""]","[""P2PLAN_02391cf50d2c96df"",""P2PLAN_9e3a4d2bed1ea086""]","[""P2_017387704e90dfa7"",""P2_3952117a13ec7506""]","[[""R2_2ffb6743b10bb3f0a97d"",39],[""R2_b2032eeb31cba06561f0"",37]]",60,CORE_0600_2200,IDEALISED_6_DAY_52_WEEK,ROBUST_PASSENGER_UNRESTRICTED,960,312,96587.666378,2,0.131669485969,0.279851259256,0.367052696251,0.035148434382,0.13167864373,0.1719969483,567.0,0.9789473684210527,0.9894736842105263,4,2,33.31417390466254,2,4,1,1,true,false,false,false
P2SERVICE_03ad5142a162a44d,P2PLAN_3c0f64a9fda3bed0,2,2,2,"[""interlined_figure8"",""two_independent_loops""]","[""P2PLAN_3c0f64a9fda3bed0"",""P2PLAN_983fbbfc8baa92c1""]","[""P2_5fe77a0644ecc691"",""P2_a70af9f09fa715b4""]","[[""R2_111bca1495da90b445bb"",59],[""R2_8c12b57f15614f4ec362"",37]]",60,CORE_0600_2200,IDEALISED_DAILY_YEAR,ROBUST_PASSENGER_UNRESTRICTED,960,365,110357.012443,2,0.079793958306,0.19973600812,0.30220495651,0.0,0.0,0.0,787.0,0.9842105263157894,0.9947368421052631,3,2,33.32623795251254,2,2,2,2,true,false,false,false
P2SERVICE_0688753688d58637,P2PLAN_541baffd7f76dd02,2,2,2,"[""blank_slate"",""single_compact_loop""]","[""P2PLAN_541baffd7f76dd02"",""P2PLAN_9271147f50394100""]","[""P2_6b09ae16da7337f6"",""P2_6d8402fc9ff7b339""]","[[""R2_cf2ca93e0a3960be59ca"",37]]",60,S8_EXTENDED_0530_2400,IDEALISED_DAILY_YEAR,ROBUST_PASSENGER_UNRESTRICTED,1110,365,94239.45656,1,0.082969978805,0.210071945938,0.308605331697,0.036037351747,0.131290820698,0.22184050544,567.0,0.972972972972973,0.9908256880733946,3,1,31.95920425601894,1,3,1,1,true,false,false,false
P2SERVICE_0b0c82f19d4b9c99,P2PLAN_1048c1536058930f,2,2,2,"[""blank_slate"",""single_compact_loop""]","[""P2PLAN_1048c1536058930f"",""P2PLAN_479e0625cce2750a""]","[""P2_0c05fad94b4031ec"",""P2_4bf5dfb6b345f7ce""]","[[""R2_2b130131b2b9db31f6d7"",37]]",60,CORE_0600_2200,IDEALISED_DAILY_YEAR,ROBUST_PASSENGER_UNRESTRICTED,960,365,103685.562463,1,0.100623384042,0.240002993083,0.315249788018,0.033694851388,0.062574266565,0.074188964284,641.0,0.9787234042553191,0.9893617021276596,2,1,31.52118404371254,1,3,1,1,true,false,false,false
P2SERVICE_0cd1068ea383511b,P2PLAN_27932c3a5d247e95,2,2,2,"[""blank_slate"",""single_compact_loop""]","[""P2PLAN_27932c3a5d247e95"",""P2PLAN_f9db0256b43d2b87""]","[""P2_0c070269c9020acb"",""P2_c10f0ec58a98978a""]","[[""R2_87f869090ed85bd335d0"",27]]",30,CORE_0600_2200,IDEALISED_6_DAY_52_WEEK,ROBUST_PASSENGER_UNRESTRICTED;ROBUST_PASSENGER_FREQUENT_30,960,312,104763.97767,1,0.094428297761,0.238865786157,0.29758147865,0.0,0.0,0.0,490.0,0.9920634920634921,1.0,1,1,25.331311862463867,2,1,3,3,true,false,false,false
P2SERVICE_0fc2bd13a6fa9870,P2PLAN_2a4c82edc3b71688,2,2,2,"[""hybrid_interlined"",""two_radial_out_and_back_feeders""]","[""P2PLAN_2a4c82edc3b71688"",""P2PLAN_4237a117a92c4e76""]","[""P2_506f266b07b131de"",""P2_d7760ea126f32a9e""]","[[""R2_3fefc0a4235e6c4bfa00"",10],[""R2_ab5110a74d88f6a5a5dd"",11]]",20,CORE_0600_2200,IDEALISED_6_DAY_52_WEEK,ROBUST_PASSENGER_UNRESTRICTED;ROBUST_PASSENGER_FREQUENT_30,960,312,105306.990153,2,0.061481646866,0.166894976061,0.206348707293,0.0,0.0,0.0,643.0,0.9874213836477987,0.9937106918238994,4,2,16.13366974339657,4,1,1,1,true,false,false,false
P2SERVICE_117a81152e241bdf,P2PLAN_c45826f2e31efbdb,2,2,2,"[""blank_slate"",""single_compact_loop""]","[""P2PLAN_c45826f2e31efbdb"",""P2PLAN_d11376fad4865ecc""]","[""P2_455581bfa0cad4ab"",""P2_6c3caf5188bf9271""]","[[""R2_092aa5e78c63b74fa8dc"",43]]",60,S8_EXTENDED_0530_2400,IDEALISED_DAILY_YEAR,ROBUST_PASSENGER_UNRESTRICTED,1110,365,107259.77235,1,0.048909513855,0.14153850532,0.224048708529,0.0,0.019833047594,0.093473095134,753.0,0.9908256880733946,1.0,1,1,24.842076715681618,1,1,2,2,true,false,false,false
P2SERVICE_123a44474fa840e0,P2PLAN_425e20c4485ed3fd,2,2,2,"[""interlined_figure8"",""two_independent_loops""]","[""P2PLAN_425e20c4485ed3fd"",""P2PLAN_919e36061de27ac7""]","[""P2_5fe77a0644ecc691"",""P2_a70af9f09fa715b4""]","[[""R2_111bca1495da90b445bb"",39],[""R2_8c12b57f15614f4ec362"",7]]",60,S8_EXTENDED_0530_2400,IDEALISED_6_DAY_52_WEEK,ROBUST_PASSENGER_UNRESTRICTED,1110,312,109894.006345,2,0.079793958306,0.19973600812,0.30220495651,0.0,0.0,0.0,787.0,0.9681818181818181,0.9862385321100917,7,2,33.26857652486894,2,2,2,2,true,false,false,false
P2SERVICE_1399111fcf5de1eb,P2PLAN_dbe489a0c6c255da,2,2,2,"[""blank_slate"",""single_compact_loop""]","[""P2PLAN_dbe489a0c6c255da"",""P2PLAN_fb75899f32402be4""]","[""P2_56801c69e0786613"",""P2_f3d37fa831bda36c""]","[[""R2_a6dcf730feb71833c37c"",10]]",20,CORE_0600_2200,IDEALISED_5_DAY_52_WEEK,ROBUST_PASSENGER_UNRESTRICTED;ROBUST_PASSENGER_FREQUENT_30,960,260,102718.841048,1,0.068081706399,0.188631834721,0.232953465913,0.0,0.0,0.0,643.0,0.9873417721518988,0.9936708860759493,2,1,16.644435378165237,2,1,3,3,true,false,false,false
P2SERVICE_15c277d6fa1b34cb,P2PLAN_95d4b550d02d2818,2,2,2,"[""interlined_figure8"",""two_independent_loops""]","[""P2PLAN_95d4b550d02d2818"",""P2PLAN_dca37b0077ed24d5""]","[""P2_017387704e90dfa7"",""P2_3952117a13ec7506""]","[[""R2_2ffb6743b10bb3f0a97d"",38],[""R2_b2032eeb31cba06561f0"",57]]",60,S8_EXTENDED_0530_2400,IDEALISED_5_DAY_52_WEEK,ROBUST_PASSENGER_UNRESTRICTED,1110,260,95581.544853,2,0.131669485969,0.279851259256,0.367052696251,0.035148434382,0.13167864373,0.1719969483,567.0,0.9818181818181818,0.9954128440366973,4,2,32.50651247701894,2,4,1,1,true,false,false,false
P2SERVICE_15e3ba89c460c8c5,P2PLAN_38812b11699fdff6,2,2,2,"[""blank_slate"",""single_compact_loop""]","[""P2PLAN_38812b11699fdff6"",""P2PLAN_94674b57f3491e6c""]","[""P2_a7143f626fa3e4c8"",""P2_e81f744c00a077cf""]","[[""R2_89ad250d7fb28bc4d750"",10]]",15,S8_EXTENDED_0530_2400,IDEALISED_5_DAY_52_WEEK,ROBUST_PASSENGER_UNRESTRICTED;ROBUST_PASSENGER_FREQUENT_30,1110,260,95070.097253,1,0.095430465648,0.217128947577,0.253311237537,0.0,0.0,0.0,221.0,0.9817351598173516,0.9908256880733946,4,1,16.504713458571654,2,2,1,1,true,false,false,false
P2SERVICE_15f971bc26a48145,P2PLAN_3388615216040c67,2,2,2,"[""hybrid_interlined"",""two_radial_out_and_back_feeders""]","[""P2PLAN_3388615216040c67"",""P2PLAN_3e13e6dc5146b2c6""]","[""P2_5f81356056df50eb"",""P2_afaa79f7edc13d54""]","[[""R2_3b073005c8535aa1bf3c"",7],[""R2_ab5110a74d88f6a5a5dd"",7]]",30,CORE_0600_2200,IDEALISED_DAILY_YEAR,ROBUST_PASSENGER_UNRESTRICTED;ROBUST_PASSENGER_FREQUENT_30,960,365,106909.036369,2,0.091818396615,0.22286541195,0.280493417998,0.0,0.0,0.0,447.0,0.984375,0.9921875,4,2,21.811783280813867,2,2,0,0,true,false,false,false
P2SERVICE_1791184ec7dc5b01,P2PLAN_1f23571e952e750c,2,2,2,"[""blank_slate"",""single_compact_loop""]","[""P2PLAN_1f23571e952e750c"",""P2PLAN_f96bf91eec36d377""]","[""P2_630176384d80fc43"",""P2_9b0e07f1e04fa248""]","[[""R2_7cc74030c04e0d37f453"",28]]",60,S8_EXTENDED_0530_2400,IDEALISED_6_DAY_52_WEEK,ROBUST_PASSENGER_UNRESTRICTED,1110,312,106242.285575,1,0.162592736817,0.303194432711,0.373691989625,0.0,0.0,0.0,753.0,0.963302752293578,0.9813084112149533,4,1,32.94903199790044,1,3,1,1,true,false,false,false
P2SERVICE_1a08c63b69d17d50,P2PLAN_648d254d50dafa91,2,2,2,"[""hybrid_interlined"",""two_radial_out_and_back_feeders""]","[""P2PLAN_648d254d50dafa91"",""P2PLAN_7dc3eae0fe76f51d""]","[""P2_4dc90710cb9ea40a"",""P2_83df62ba410ac17c""]","[[""R2_40023c3a09f861e4df2b"",16],[""R2_89faf7404f5ba6502188"",12]]",20,S8_EXTENDED_0530_2400,IDEALISED_6_DAY_52_WEEK,ROBUST_PASSENGER_UNRESTRICTED;ROBUST_PASSENGER_FREQUENT_30,1110,312,99547.554253,2,0.05483752116,0.153529561677,0.208416350158,0.0,0.0,0.000465712767,0.0,0.9782608695652174,0.9945054945054945,8,2,16.60536197288028,4,1,1,1,true,false,false,false
P2SERVICE_1b885205f30b8ca8,P2PLAN_64703aea90013c7c,2,2,2,"[""hybrid_interlined"",""two_radial_out_and_back_feeders""]","[""P2PLAN_64703aea90013c7c"",""P2PLAN_8a188b0269168b8a""]","[""P2_5f81356056df50eb"",""P2_afaa79f7edc13d54""]","[[""R2_3b073005c8535aa1bf3c"",7],[""R2_ab5110a74d88f6a5a5dd"",7]]",30,S8_EXTENDED_0530_2400,IDEALISED_6_DAY_52_WEEK,ROBUST_PASSENGER_UNRESTRICTED;ROBUST_PASSENGER_FREQUENT_30,1110,312,105664.205124,2,0.091818396615,0.22286541195,0.280493417998,0.0,0.0,0.0,447.0,0.9829931972789115,0.9863945578231292,5,2,21.811783280813867,2,2,0,0,true,false,false,false
P2SERVICE_200ea8da32654f2c,P2PLAN_9e493ea9a54ae6f8,2,2,2,"[""hybrid_interlined"",""two_radial_out_and_back_feeders""]","[""P2PLAN_9e493ea9a54ae6f8"",""P2PLAN_eb873d185ed14002""]","[""P2_4dc90710cb9ea40a"",""P2_83df62ba410ac17c""]","[[""R2_40023c3a09f861e4df2b"",10],[""R2_89faf7404f5ba6502188"",12]]",20,CORE_0600_2200,IDEALISED_DAILY_YEAR,ROBUST_PASSENGER_UNRESTRICTED;ROBUST_PASSENGER_FREQUENT_30,960,365,99821.036545,2,0.05483752116,0.153529561677,0.208416350158,0.0,0.0,0.000465712767,0.0,0.9874213836477987,0.9937106918238994,4,2,16.580338277559033,3,1,1,1,true,false,false,false
P2SERVICE_20ab439daa900dfb,P2PLAN_3272aa0339de2bad,2,2,2,"[""hybrid_interlined"",""two_radial_out_and_back_feeders""]","[""P2PLAN_3272aa0339de2bad"",""P2PLAN_693338536dbdd998""]","[""P2_506f266b07b131de"",""P2_d7760ea126f32a9e""]","[[""R2_3fefc0a4235e6c4bfa00"",10],[""R2_ab5110a74d88f6a5a5dd"",16]]",20,S8_EXTENDED_0530_2400,IDEALISED_5_DAY_52_WEEK,ROBUST_PASSENGER_UNRESTRICTED;ROBUST_PASSENGER_FREQUENT_30,1110,260,102381.795982,2,0.061481646866,0.166894976061,0.206348707293,0.0,0.0,0.0,643.0,0.9782608695652174,0.9945054945054945,8,2,16.172181283879247,4,1,1,1,true,false,false,false
P2SERVICE_24bdf3ac9c454420,P2PLAN_6a68bdeecf71e7ee,2,2,2,"[""blank_slate"",""single_compact_loop""]","[""P2PLAN_6a68bdeecf71e7ee"",""P2PLAN_b8ea6951fb649d29""]","[""P2_05f8082fbcf36ac0"",""P2_a544a8e68095671f""]","[[""R2_c00de14167977d74b208"",10]]",30,CORE_0600_2200,IDEALISED_5_DAY_52_WEEK,ROBUST_PASSENGER_UNRESTRICTED;ROBUST_PASSENGER_FREQUENT_30,960,260,105975.399737,1,0.093530234175,0.219594129346,0.305382624867,0.0,0.017816214136,0.131607387804,310.0,0.9841269841269841,0.9920634920634921,2,1,19.865371133281617,2,3,0,0,true,false,false,false
P2SERVICE_27fd3b760af19e5f,P2PLAN_c038e6a5b4f14c54,2,2,2,"[""blank_slate"",""single_compact_loop""]","[""P2PLAN_c038e6a5b4f14c54"",""P2PLAN_df4d5bfdbc8fade3""]","[""P2_1c505c091c9f5b21"",""P2_39a9959520dd71f5""]","[[""R2_74ab36c37a99ef5a1c51"",8]]",20,CORE_0600_2200,IDEALISED_6_DAY_52_WEEK,ROBUST_PASSENGER_UNRESTRICTED;ROBUST_PASSENGER_FREQUENT_30,960,312,105176.002838,1,0.055990090942,0.158428724316,0.212977207792,0.0,5.0341214e-05,5.0341214e-05,221.0,0.9873417721518988,0.9936708860759493,2,1,17.845923039697016,2,2,1,1,true,false,false,false
P2SERVICE_2a07752b91c66f6c,P2PLAN_a462a2c89f348b80,2,2,2,"[""blank_slate"",""single_compact_loop""]","[""P2PLAN_a462a2c89f348b80"",""P2PLAN_f7f8cd0ee3ef7785""]","[""P2_9858dc3c94ecb6ac"",""P2_f77c2ba98980326c""]","[[""R2_e641044e83a327ab5732"",7]]",20,CORE_0600_2200,IDEALISED_5_DAY_52_WEEK,ROBUST_PASSENGER_UNRESTRICTED;ROBUST_PASSENGER_FREQUENT_30,960,260,102555.439572,1,0.075446277788,0.159931714535,0.202977859691,0.0,0.0,0.0,844.0,0.9873417721518988,0.9936708860759493,2,1,17.433653904397012,2,2,1,1,true,false,false,false
P2SERVICE_2b71c30103468199,P2PLAN_816d29e1e2a70652,2,2,2,"[""blank_slate"",""single_compact_loop""]","[""P2PLAN_816d29e1e2a70652"",""P2PLAN_e9ea56dafbf2a7b9""]","[""P2_0cb6579dbfb6c21d"",""P2_797f3c5fa3d228fb""]","[[""R2_c5de37de500b158213f8"",10]]",15,S8_EXTENDED_0530_2400,IDEALISED_6_DAY_52_WEEK,ROBUST_PASSENGER_UNRESTRICTED;ROBUST_PASSENGER_FREQUENT_30,1110,312,104675.716253,1,0.080335421758,0.204655275342,0.247658135595,0.0,0.0,0.0,221.0,0.9817351598173516,0.9908256880733946,4,1,15.805071748112779,2,1,1,1,true,false,false,false
P2SERVICE_2c8b588824bddea3,P2PLAN_9dd6bba7a97bcf9c,2,2,2,"[""blank_slate"",""single_compact_loop""]","[""P2PLAN_9dd6bba7a97bcf9c"",""P2PLAN_f010230cd695151e""]","[""P2_62301db72bc6e899"",""P2_f2143ff4248db98f""]","[[""R2_e49df5a7f4542c2b9f1d"",7]]",30,CORE_0600_2200,IDEALISED_6_DAY_52_WEEK,ROBUST_PASSENGER_UNRESTRICTED;ROBUST_PASSENGER_FREQUENT_30,960,312,107558.568819,1,0.060460001139,0.174186053443,0.244271439176,0.0,0.006505370732,0.009189912991,490.0,0.9841269841269841,0.9921875,2,1,22.41255667694612,2,2,2,2,true,false,false,false
P2SERVICE_2cd80a1175d24055,P2PLAN_02d05e32f74774dd,2,2,2,"[""blank_slate"",""single_compact_loop""]","[""P2PLAN_02d05e32f74774dd"",""P2PLAN_80e2ecee32dbfd8b""]","[""P2_bc1e37be7e7a349b"",""P2_f90598a41d4d09f8""]","[[""R2_9765d34882cc4165f829"",7]]",30,CORE_0600_2200,IDEALISED_6_DAY_52_WEEK,ROBUST_PASSENGER_UNRESTRICTED;ROBUST_PASSENGER_FREQUENT_30,960,312,109743.454939,1,0.069467514842,0.167197901645,0.242930055834,0.033694851388,0.055548320348,0.063137253657,641.0,0.984375,0.9921875,2,1,22.911224758146123,2,2,1,1,true,false,false,false
P2SERVICE_2ff161ec7350a932,P2PLAN_9c6117821141b0e9,2,2,2,"[""blank_slate"",""single_compact_loop""]","[""P2PLAN_9c6117821141b0e9"",""P2PLAN_c02d920351670219""]","[""P2_46ac3434edd59d8e"",""P2_4b93776e7a22cab7""]","[[""R2_cba9391a775bcf131254"",7]]",30,CORE_0600_2200,IDEALISED_DAILY_YEAR,ROBUST_PASSENGER_UNRESTRICTED;ROBUST_PASSENGER_FREQUENT_30,960,365,108764.501465,1,0.045296573172,0.114396599319,0.157293423644,5.0341214e-05,0.001838235294,0.011016508985,245.0,0.984375,0.9921875,2,1,20.331167627531617,2,1,1,1,true,false,false,false
P2SERVICE_32367ed31984e3fa,P2PLAN_6558b24032c04856,2,2,2,"[""blank_slate"",""single_compact_loop""]","[""P2PLAN_6558b24032c04856"",""P2PLAN_cfd5724d58f183fd""]","[""P2_3105baa6d4550828"",""P2_dd354addff4542c4""]","[[""R2_0e3b21bd0041fec416ba"",1]]",20,CORE_0600_2200,IDEALISED_5_DAY_52_WEEK,ROBUST_PASSENGER_UNRESTRICTED;ROBUST_PASSENGER_FREQUENT_30,960,260,109947.967958,1,0.088034123665,0.190938038621,0.250227822014,0.023017925773,0.050908041569,0.063137253657,90.0,0.9873417721518988,0.9936708860759493,2,1,16.696094165121597,3,3,1,1,true,false,false,false
P2SERVICE_3356f7225c7b4cb6,P2PLAN_3b8e9ffbba770ca1,2,2,2,"[""blank_slate"",""single_compact_loop""]","[""P2PLAN_3b8e9ffbba770ca1"",""P2PLAN_7f50deea5fcf3384""]","[""P2_809c8de22802b017"",""P2_b61ce8c56cf408f8""]","[[""R2_1701c710edcd53eee167"",37]]",60,CORE_0600_2200,IDEALISED_DAILY_YEAR,ROBUST_PASSENGER_UNRESTRICTED,960,365,105263.262839,1,0.109281682059,0.243128782179,0.324805241097,0.041666923347,0.16160921696,0.22184050544,567.0,0.9787234042553191,0.9893617021276596,2,1,31.863628866112542,1,3,1,1,true,false,false,false
P2SERVICE_35d42b278265351e,P2PLAN_46f3d8d3f3f99ff3,2,2,2,"[""blank_slate"",""single_compact_loop""]","[""P2PLAN_46f3d8d3f3f99ff3"",""P2PLAN_a14c3eeded71bec6""]","[""P2_06755a34f49f025f"",""P2_8031197355654327""]","[[""R2_720949d9745b883ea795"",9]]",20,CORE_0600_2200,IDEALISED_6_DAY_52_WEEK,ROBUST_PASSENGER_UNRESTRICTED;ROBUST_PASSENGER_FREQUENT_30,960,312,100653.635182,1,0.050395480412,0.124184246283,0.182836849837,0.0,5.0341214e-05,0.009189912991,221.0,0.9873417721518988,0.9936708860759493,2,1,18.371699719147013,2,1,1,1,true,false,false,false
P2SERVICE_36c3b2f61fa82c44,P2PLAN_57c55c2ee8e62768,2,2,2,"[""blank_slate"",""single_compact_loop""]","[""P2PLAN_57c55c2ee8e62768"",""P2PLAN_641c5fea8bc26144""]","[""P2_8c2d9ff2242f8bd8"",""P2_faa72fd539dead97""]","[[""R2_f696dbc94741ef156326"",25]]",30,CORE_0600_2200,IDEALISED_6_DAY_52_WEEK,ROBUST_PASSENGER_UNRESTRICTED;ROBUST_PASSENGER_FREQUENT_30,960,312,110783.306739,1,0.045114203683,0.128824319301,0.175435846911,0.0,0.0,0.0,956.0,0.9920634920634921,0.9920634920634921,1,1,25.032035356963867,2,0,3,3,true,false,false,false
P2SERVICE_3aba673141f4e976,P2PLAN_745edab22d294840,2,2,2,"[""interlined_figure8"",""two_independent_loops""]","[""P2PLAN_745edab22d294840"",""P2PLAN_c817c8b2c925b57c""]","[""P2_32c80edb4b3bb903"",""P2_76fd09c6516f6610""]","[[""R2_16a97519523a8a680e75"",44],[""R2_23d58cd05658247380d7"",37]]",60,S8_EXTENDED_0530_2400,IDEALISED_5_DAY_52_WEEK,ROBUST_PASSENGER_UNRESTRICTED,1110,260,104832.388765,2,0.106365636957,0.241773228843,0.319076999002,0.066479875394,0.170853502565,0.220739738276,1055.0,0.972972972972973,0.9954128440366973,6,2,32.32238816996894,2,3,2,2,true,false,false,false
P2SERVICE_40838b7e7404ca49,P2PLAN_99801562ada7713c,2,2,2,"[""blank_slate"",""single_compact_loop""]","[""P2PLAN_99801562ada7713c"",""P2PLAN_fe394c2674bfe837""]","[""P2_53fd2d4d99e137fc"",""P2_fa603ab2af99a6aa""]","[[""R2_fc3196ae85a4ca6d0ece"",7]]",20,CORE_0600_2200,IDEALISED_DAILY_YEAR,ROBUST_PASSENGER_UNRESTRICTED;ROBUST_PASSENGER_FREQUENT_30,960,365,99164.729005,1,0.065917856243,0.155349483895,0.204006783968,0.0,0.000465712767,0.009189912991,0.0,0.9873417721518988,0.9936708860759493,2,1,17.401301243497013,2,1,1,1,true,false,false,false
P2SERVICE_4110c52a15320a2e,P2PLAN_6508ce433ac6d513,2,2,2,"[""blank_slate"",""single_compact_loop""]","[""P2PLAN_6508ce433ac6d513"",""P2PLAN_f4f4d285bf519656""]","[""P2_1c505c091c9f5b21"",""P2_39a9959520dd71f5""]","[[""R2_74ab36c37a99ef5a1c51"",8]]",20,S8_EXTENDED_0530_2400,IDEALISED_5_DAY_52_WEEK,ROBUST_PASSENGER_UNRESTRICTED;ROBUST_PASSENGER_FREQUENT_30,1110,260,100428.474932,1,0.055990090942,0.158428724316,0.212977207792,0.0,5.0341214e-05,5.0341214e-05,221.0,0.9726775956284153,0.9944444444444445,5,1,17.82501186078645,2,2,1,1,true,false,false,false
P2SERVICE_46745886a60b1f3d,P2PLAN_6073e4c9e0688a51,2,2,2,"[""blank_slate"",""single_compact_loop""]","[""P2PLAN_6073e4c9e0688a51"",""P2PLAN_a2f4ecec8efbef5a""]","[""P2_74f1e7255aba252d"",""P2_c4fc2e0b8cb9f7d5""]","[[""R2_003fb677922b3a103696"",37]]",60,S8_EXTENDED_0530_2400,IDEALISED_5_DAY_52_WEEK,ROBUST_PASSENGER_UNRESTRICTED,1110,260,110340.191639,1,0.098074249414,0.227378581176,0.332050379807,0.023772670879,0.083853769642,0.165641587049,1055.0,0.981651376146789,0.9908256880733946,2,1,29.790524877318937,1,3,1,1,true,false,false,false
P2SERVICE_4943f6c057dd1069,P2PLAN_5e40b78d68a95118,2,2,2,"[""blank_slate"",""single_compact_loop""]","[""P2PLAN_5e40b78d68a95118"",""P2PLAN_fa008810caa40bda""]","[""P2_0ce6c0bee21b6682"",""P2_cdd20a132d6e273d""]","[[""R2_700cd5fc23e4fb3cdeab"",21]]",30,S8_EXTENDED_0530_2400,IDEALISED_6_DAY_52_WEEK,ROBUST_PASSENGER_UNRESTRICTED;ROBUST_PASSENGER_FREQUENT_30,1110,312,108731.185018,1,0.07116275898,0.201605561666,0.300731020634,0.0,0.0,0.000465712767,375.0,0.9862068965517241,0.9930555555555556,2,1,20.767315188181612,2,2,1,1,true,false,false,false
P2SERVICE_4c1a2744b41c05ec,P2PLAN_54789cebec451191,2,2,2,"[""hybrid_interlined"",""two_radial_out_and_back_feeders""]","[""P2PLAN_54789cebec451191"",""P2PLAN_6507814185e2a0ed""]","[""P2_10e15fcbe232b848"",""P2_e41dcca08b5401ae""]","[[""R2_89faf7404f5ba6502188"",12],[""R2_fedae7e1b14941808593"",11]]",20,CORE_0600_2200,IDEALISED_5_DAY_52_WEEK,ROBUST_PASSENGER_UNRESTRICTED;ROBUST_PASSENGER_FREQUENT_30,960,260,107266.136028,2,0.066999800132,0.184082395339,0.263065498573,0.0,0.0,0.000465712767,134.0,0.9873417721518988,0.9936708860759493,4,2,16.580338277559033,4,1,1,1,true,false,false,false
P2SERVICE_4c9c58af87d94b60,P2PLAN_cc468b952480411c,2,2,2,"[""blank_slate"",""single_compact_loop""]","[""P2PLAN_cc468b952480411c"",""P2PLAN_ce0f2e22a9cbcc87""]","[""P2_852c3cbd1b1888e6"",""P2_b6595bc2838b3397""]","[[""R2_a3523dd1e87e4364755c"",7]]",60,S8_EXTENDED_0530_2400,IDEALISED_DAILY_YEAR,ROBUST_PASSENGER_UNRESTRICTED,1110,365,105576.712295,1,0.107034174099,0.234686081826,0.313223931841,0.0,0.0,0.0,753.0,0.963302752293578,0.963302752293578,4,1,32.034552667963865,1,3,1,1,true,false,false,false
P2SERVICE_4ce16ecb8076cfb1,P2PLAN_53c0e43f67ca2f3b,2,2,2,"[""blank_slate"",""single_compact_loop""]","[""P2PLAN_53c0e43f67ca2f3b"",""P2PLAN_d272b01d6250beb8""]","[""P2_56801c69e0786613"",""P2_f3d37fa831bda36c""]","[[""R2_a6dcf730feb71833c37c"",13]]",30,S8_EXTENDED_0530_2400,IDEALISED_DAILY_YEAR,ROBUST_PASSENGER_UNRESTRICTED;ROBUST_PASSENGER_FREQUENT_30,1110,365,111155.284323,1,0.068081706399,0.188631834721,0.232953465913,0.0,0.0,0.0,643.0,0.9727891156462585,0.9930555555555556,4,1,21.589303403731616,2,1,3,3,true,false,false,false
P2SERVICE_4e7f524485025064,P2PLAN_56111dfce332aa17,2,2,2,"[""blank_slate"",""single_compact_loop""]","[""P2PLAN_56111dfce332aa17"",""P2PLAN_7ad303df77e2a85c""]","[""P2_0ce6c0bee21b6682"",""P2_cdd20a132d6e273d""]","[[""R2_700cd5fc23e4fb3cdeab"",7]]",30,CORE_0600_2200,IDEALISED_DAILY_YEAR,ROBUST_PASSENGER_UNRESTRICTED;ROBUST_PASSENGER_FREQUENT_30,960,365,110012.148389,1,0.07116275898,0.201605561666,0.300731020634,0.0,0.0,0.000465712767,375.0,0.9841269841269841,0.9921875,2,1,22.92622339364612,2,2,1,1,true,false,false,false
P2SERVICE_514cbd6838f4229b,P2PLAN_1ed385aac063e524,2,2,2,"[""blank_slate"",""single_compact_loop""]","[""P2PLAN_1ed385aac063e524"",""P2PLAN_9b0002042545953d""]","[""P2_0cb6579dbfb6c21d"",""P2_797f3c5fa3d228fb""]","[[""R2_c5de37de500b158213f8"",7]]",15,CORE_0600_2200,IDEALISED_DAILY_YEAR,ROBUST_PASSENGER_UNRESTRICTED;ROBUST_PASSENGER_FREQUENT_30,960,365,105908.9021,1,0.080335421758,0.204655275342,0.247658135595,0.0,0.0,0.0,221.0,0.9894736842105263,0.9947368421052631,2,1,17.125361709799584,2,1,1,1,true,false,false,false
