DATAFLOW,FREQ,REF_AREA,INDICATOR,GENDER,AGE_NOCLASS,CITIZENSHIP,EDU_ATTAIN,CUR_ACT_STAT,LOC_DEST,REAS_COMMUTING,TIME_PERIOD,OBS_VALUE,OBS_STATUS,NOTE_DS,NOTE_REF_AREA,NOTE_INDICATOR,NOTE_GENDER,NOTE_AGE_NOCLASS,NOTE_CITIZENSHIP,NOTE_EDU_ATTAIN,NOTE_CUR_ACT_STAT,NOTE_LOC_DEST,NOTE_REAS_COMMUTING,NOTE_TIME_PERIOD,BASE_PER,UNIT_MEAS,UNIT_MULT
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_5(1.0),A,097012,RP_COM_DAY,T,TOTAL,TOTAL,ALL,99,SMPUR,WK,2019,321,,,,,,,,ALL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_5(1.0),A,097020,RP_COM_DAY,T,TOTAL,TOTAL,ALL,99,ALL,ALL,2019,2128,,,,,,,,ALL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_5(1.0),A,097020,RP_COM_DAY,T,TOTAL,TOTAL,ALL,99,ALL,STD,2019,671,,,,,,,,ALL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_5(1.0),A,097020,RP_COM_DAY,T,TOTAL,TOTAL,ALL,99,ALL,WK,2019,1457,,,,,,,,ALL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_5(1.0),A,097020,RP_COM_DAY,T,TOTAL,TOTAL,ALL,99,OMPUR,ALL,2019,1621,,,,,,,,ALL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_5(1.0),A,097020,RP_COM_DAY,T,TOTAL,TOTAL,ALL,99,OMPUR,STD,2019,377,,,,,,,,ALL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_5(1.0),A,097020,RP_COM_DAY,T,TOTAL,TOTAL,ALL,99,OMPUR,WK,2019,1244,,,,,,,,ALL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_5(1.0),A,097020,RP_COM_DAY,T,TOTAL,TOTAL,ALL,99,SMPUR,ALL,2019,507,,,,,,,,ALL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_5(1.0),A,097020,RP_COM_DAY,T,TOTAL,TOTAL,ALL,99,SMPUR,STD,2019,294,,,,,,,,ALL_N1,99_N1,,,,,,
IT1:DF_DCSS_ISTR_LAV_PEN_2_TV_5(1.0),A,097020,RP_COM_DAY,T,TOTAL,TOTAL,ALL,99,SMPUR,WK,2019,213,,,,,,,,ALL_N1,99_N1,,,,,,
